"efforts_tuples","selected0","selected1","count","count_normalized","selected_motions"
"[-1,-1,0,-1]_[1,1,0,-1]",0,2,5,0.5,"0_2"
"[-1,-1,0,-1]_[1,1,0,-1]",1,2,1,0.1,"1_2"
"[-1,-1,0,-1]_[1,1,0,0]",0,1,4,0.4,"0_1"
"[-1,-1,0,-1]_[1,1,0,0]",0,2,3,0.3,"0_2"
"[-1,-1,0,-1]_[1,1,0,0]",1,2,3,0.3,"1_2"
"[-1,-1,0,-1]_[1,1,0,1]",0,1,4,0.363636363636364,"0_1"
"[-1,-1,0,-1]_[1,1,0,1]",0,2,1,0.0909090909090909,"0_2"
"[-1,-1,0,-1]_[1,1,0,1]",1,2,6,0.545454545454545,"1_2"
"[-1,-1,0,-1]_[1,1,1,0]",0,1,7,0.636363636363636,"0_1"
"[-1,-1,0,-1]_[1,1,1,0]",0,2,1,0.0909090909090909,"0_2"
"[-1,-1,0,-1]_[1,1,1,0]",1,2,3,0.272727272727273,"1_2"
"[-1,-1,0,0]_[-1,-1,0,1]",0,1,6,0.6,"0_1"
"[-1,-1,0,0]_[-1,-1,0,1]",0,2,4,0.4,"0_2"
"[-1,-1,0,0]_[-1,-1,0,1]",1,2,0,0,"1_2"
"[-1,-1,0,0]_[-1,-1,1,0]",0,1,9,0.75,"0_1"
"[-1,-1,0,0]_[-1,-1,1,0]",0,2,1,0.0833333333333333,"0_2"
"[-1,-1,0,0]_[-1,-1,1,0]",1,2,2,0.166666666666667,"1_2"
"[-1,-1,0,0]_[-1,0,-1,-1]",0,1,11,1,"0_1"
"[-1,-1,0,0]_[-1,0,-1,-1]",0,2,0,0,"0_2"
"[-1,-1,0,0]_[-1,0,-1,-1]",1,2,0,0,"1_2"
"[-1,-1,0,0]_[-1,0,-1,0]",0,1,5,0.454545454545455,"0_1"
"[-1,-1,0,0]_[-1,0,-1,0]",0,2,1,0.0909090909090909,"0_2"
"[-1,-1,0,0]_[-1,0,-1,0]",1,2,5,0.454545454545455,"1_2"
"[-1,-1,0,0]_[-1,0,-1,1]",0,1,8,0.571428571428571,"0_1"
"[-1,-1,0,0]_[-1,0,-1,1]",0,2,4,0.285714285714286,"0_2"
"[-1,-1,0,0]_[-1,0,-1,1]",1,2,2,0.142857142857143,"1_2"
"[-1,-1,0,0]_[-1,0,0,-1]",0,1,9,0.75,"0_1"
"[-1,-1,0,0]_[-1,0,0,-1]",0,2,1,0.0833333333333333,"0_2"
"[-1,-1,0,0]_[-1,0,0,-1]",1,2,2,0.166666666666667,"1_2"
"[-1,-1,0,0]_[-1,0,0,1]",0,1,3,0.272727272727273,"0_1"
"[-1,-1,0,0]_[-1,0,0,1]",0,2,6,0.545454545454545,"0_2"
"[-1,-1,0,0]_[-1,0,0,1]",1,2,2,0.181818181818182,"1_2"
"[-1,-1,0,0]_[-1,0,1,-1]",0,1,8,0.8,"0_1"
"[-1,-1,0,0]_[-1,0,1,-1]",0,2,2,0.2,"0_2"
"[-1,-1,0,0]_[-1,0,1,-1]",1,2,0,0,"1_2"
"[-1,-1,0,0]_[-1,0,1,0]",0,1,9,0.9,"0_1"
"[-1,-1,0,0]_[-1,0,1,0]",0,2,0,0,"0_2"
"[-1,-1,0,0]_[-1,0,1,0]",1,2,1,0.1,"1_2"
"[-1,-1,0,0]_[-1,0,1,1]",0,1,5,0.5,"0_1"
"[-1,-1,0,0]_[-1,0,1,1]",0,2,5,0.5,"0_2"
"[-1,-1,0,0]_[-1,0,1,1]",1,2,0,0,"1_2"
"[-1,-1,0,0]_[-1,1,-1,0]",0,1,7,0.7,"0_1"
"[-1,-1,0,0]_[-1,1,-1,0]",0,2,1,0.1,"0_2"
"[-1,-1,0,0]_[-1,1,-1,0]",1,2,2,0.2,"1_2"
"[-1,-1,0,0]_[-1,1,0,-1]",0,1,13,0.866666666666667,"0_1"
"[-1,-1,0,0]_[-1,1,0,-1]",0,2,1,0.0666666666666667,"0_2"
"[-1,-1,0,0]_[-1,1,0,-1]",1,2,1,0.0666666666666667,"1_2"
"[-1,-1,0,0]_[-1,1,0,0]",0,1,8,0.8,"0_1"
"[-1,-1,0,0]_[-1,1,0,0]",0,2,0,0,"0_2"
"[-1,-1,0,0]_[-1,1,0,0]",1,2,2,0.2,"1_2"
"[-1,-1,0,0]_[-1,1,0,1]",0,1,2,0.181818181818182,"0_1"
"[-1,-1,0,0]_[-1,1,0,1]",0,2,3,0.272727272727273,"0_2"
"[-1,-1,0,0]_[-1,1,0,1]",1,2,6,0.545454545454545,"1_2"
"[-1,-1,0,0]_[-1,1,1,0]",0,1,13,0.928571428571429,"0_1"
"[-1,-1,0,0]_[-1,1,1,0]",0,2,1,0.0714285714285714,"0_2"
"[-1,-1,0,0]_[-1,1,1,0]",1,2,0,0,"1_2"
"[-1,-1,0,0]_[0,-1,-1,-1]",0,1,7,0.636363636363636,"0_1"
"[-1,-1,0,0]_[0,-1,-1,-1]",0,2,1,0.0909090909090909,"0_2"
"[-1,-1,0,0]_[0,-1,-1,-1]",1,2,3,0.272727272727273,"1_2"
"[-1,-1,0,0]_[0,-1,-1,0]",0,1,3,0.3,"0_1"
"[-1,-1,0,0]_[0,-1,-1,0]",0,2,2,0.2,"0_2"
"[-1,-1,0,0]_[0,-1,-1,0]",1,2,5,0.5,"1_2"
"[-1,-1,0,0]_[0,-1,-1,1]",0,1,6,0.6,"0_1"
"[-1,-1,0,0]_[0,-1,-1,1]",0,2,0,0,"0_2"
"[-1,-1,0,0]_[0,-1,-1,1]",1,2,4,0.4,"1_2"
"[-1,-1,0,0]_[0,-1,0,-1]",0,1,4,0.363636363636364,"0_1"
"[-1,-1,0,0]_[0,-1,0,-1]",0,2,0,0,"0_2"
